id;tracked_at;latitude;longitude;geom;accuracy;new_track;created_at;trip_id;user_id;altitude;speed
3222876771;2019-09-27 06:50:20.657+00;40.42506651935944;-3.6818061401583755;0101000020E6100000A88911C756740DC0FDA2679468364440;65;f;2019-09-27 05:14:32.451613+00;12673161;MACQI;;
3222876772;2019-09-27 06:50:27.108999+00;40.42510179624699;-3.6821954507304917;0101000020E610000085F072E322750DC0042D54BC69364440;65;f;2019-09-27 05:14:32.451613+00;12673161;MACQI;;
3222876773;2019-09-27 06:50:33.591+00;40.42511468931849;-3.6823249240402984;0101000020E610000079FD0FC566750DC008D67B286A364440;65;f;2019-09-27 05:14:32.451613+00;12673161;MACQI;;
3222876774;2019-09-27 06:50:40.121+00;40.42510847541179;-3.6823896165617866;0101000020E6100000531AF2AF88750DC0B2925BF469364440;65;f;2019-09-27 05:14:32.451613+00;12673161;MACQI;;
3222876775;2019-09-27 06:50:46.595+00;40.42513138285227;-3.682463404367013;0101000020E610000000C9935FAF750DC048ED84B46A364440;65;f;2019-09-27 05:14:32.451613+00;12673161;MACQI;;
3222876776;2019-09-27 06:50:53.039+00;40.425138563007984;-3.682418819893219;0101000020E610000029EE8CFF97750DC0A131C0F06A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876777;2019-09-27 06:50:59.509+00;40.425136541735874;-3.682627435279324;0101000020E610000034046F5F05760DC0898BCBDF6A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876778;2019-09-27 06:51:05.950999+00;40.42514704455597;-3.6826882220681783;0101000020E61000007D2D193E25760DC0F22DE6376B364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876779;2019-09-27 06:51:12.736+00;40.425143755978354;-3.6827647634327274;0101000020E61000001C704E5F4D760DC04803501C6B364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876780;2019-09-27 06:51:19.177999+00;40.425092248580036;-3.6828586869113287;0101000020E6100000DB96809D7E760DC099B73C6C69364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876781;2019-09-27 06:51:25.678999+00;40.42503439374802;-3.6827619755179235;0101000020E6100000286A1EE94B760DC05669EA8667364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876782;2019-09-27 06:51:32.114+00;40.42497824951224;-3.682764492796676;0101000020E61000003A74FB3A4D760DC04D95F1AF65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876783;2019-09-27 06:51:38.605999+00;40.42483612430044;-3.6827502393984832;0101000020E6100000D76BECC145760DC0D003B60761364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876784;2019-09-27 06:51:45.115+00;40.42489503006222;-3.6827803285624223;0101000020E6100000CF386C8855760DC0D22CD9F562364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876785;2019-09-27 06:51:51.579999+00;40.42491189984537;-3.682806344096435;0101000020E6100000022A2B2C63760DC030C25C8363364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876786;2019-09-27 06:51:58.010999+00;40.424931064549305;-3.6828356792572534;0101000020E6100000639D778D72760DC099A5202464364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876787;2019-09-27 06:52:04.519+00;40.4250435766034;-3.6828023004535813;0101000020E610000051A7700D61760DC07871F2D367364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876788;2019-09-27 06:52:13.581+00;40.42511785106417;-3.682795025569121;0101000020E6100000E186053D5D760DC01AA201436A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876789;2019-09-27 06:52:13.586999+00;40.42511789986263;-3.682795020789508;0101000020E6100000F54C613C5D760DC0566D6A436A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876790;2019-09-27 06:52:14.240999+00;40.42512286638142;-3.682794534338983;0101000020E6100000E4FC16FB5C760DC0EBF1136D6A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876791;2019-09-27 06:52:15.463999+00;40.425132013216775;-3.6827936384432776;0101000020E6100000ED3ED8825C760DC0D59FCEB96A364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876792;2019-09-27 06:52:18.875+00;40.42505923658855;-3.6827926384698673;0101000020E6100000CA6BA1FC5B760DC05A01505768364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
